YEAR,STATE,BENE_GEO_CD,BENES_MA_CNT,BENE_AVG_AGE,BENE_FEML_PCT,BENE_MALE_PCT,BENE_DUAL_PCT,BENES_OP_CNT,BENES_OP_PCT,OP_VISITS_PER_1000_BENES,BENES_ER_VISITS_CNT,BENES_ER_VISITS_PCT,ER_VISITS_PER_1000_BENES
2022,DC,11.0,25206,72,0.5942,0.4058,0.6116,13116,0.5204,3593.8269,14037,0.5569,556.8912
2022,VA,51.0,527547,71,0.5677,0.4323,0.2336,335828,0.6366,3640.1496,235897,0.4472,447.1583
2022,OK,40.0,265393,71,0.561,0.439,0.2338,185178,0.6978,3963.0548,113443,0.4275,427.4529
2022,MS,28.0,209796,69,0.5614,0.4386,0.4111,151231,0.7208,4792.1219,89642,0.4273,427.2817
2022,LA,22.0,451416,71,0.5571,0.4429,0.3529,349054,0.7732,5665.6543,191672,0.4246,424.6017
2022,TN,47.0,689526,71,0.5616,0.4384,0.2935,442751,0.6421,3285.1495,289001,0.4191,419.13
2022,AR,5.0,243308,69,0.5583,0.4417,0.3469,169567,0.6969,4191.7652,101771,0.4183,418.2805
2022,SC,45.0,470206,71,0.5673,0.4327,0.2724,319379,0.6792,3709.3784,195458,0.4157,415.6859
2022,OH,39.0,1258294,72,0.5694,0.4306,0.2255,980046,0.7789,6197.2973,508252,0.4039,403.9215
2022,GA,13.0,928498,71,0.5802,0.4198,0.2918,600501,0.6467,3576.6474,373206,0.4019,401.9459
