YEAR,STATE,BENES_MA_CNT,BENE_AVG_AGE,BENE_DUAL_PCT,ER_VISITS_PER_1000_BENES,OP_VISITS_PER_1000_BENES
2022,National,29679713,72,0.2365,354.9151,3899.6528
2022,CA,3188104,74,0.2156,312.3245,2121.5475
2022,FL,2592290,73,0.2744,358.186,2078.7119
2022,TX,2194093,72,0.2443,390.4825,3413.5837
2022,NY,1790206,73,0.3597,350.0709,4283.2713
2022,PA,1399160,73,0.2264,374.5762,5161.2696
2022,OH,1258294,72,0.2255,403.9215,6197.2973
2022,MI,1203668,72,0.1619,323.6083,5869.5421
2022,NC,1033740,72,0.2035,344.6873,3915.4449
2022,GA,928498,71,0.2918,401.9459,3576.6474
2022,IL,867590,73,0.2522,362.9111,4963.1347
2022,TN,689526,71,0.2935,419.13,3285.1495
2022,AZ,679967,72,0.2798,318.8596,2117.7778
2022,WI,658549,73,0.1472,280.4818,5653.0038
2022,PR,640589,72,,400.0646,1414.6715
2022,NJ,617855,73,0.1828,360.1719,3333.0393
2022,WA,613814,72,0.2066,289.2733,3253.4253
2022,MO,611180,72,0.1906,400.6087,4922.594
2022,MN,605401,74,0.1251,217.8325,4070.5367
2022,AL,589541,70,0.2703,372.0742,3270.2051
2022,IN,579080,72,0.2355,385.774,5673.4527
2022,VA,527547,71,0.2336,447.1583,3640.1496
2022,CO,475367,73,0.1653,299.5138,3010.6255
2022,OR,470702,74,0.1887,302.9815,3856.3167
2022,SC,470206,71,0.2724,415.6859,3709.3784
2022,KY,457481,71,0.2293,379.8103,5021.1003
2022,LA,451416,71,0.3529,424.6017,5665.6543
2022,MA,428104,73,0.3182,392.0496,6172.9299
2022,CT,362846,73,0.3319,379.7947,5068.8364
2022,OK,265393,71,0.2338,427.4529,3963.0548
2022,NV,264952,73,0.1624,353.1017,1770.7623
2022,AR,243308,69,0.3469,418.2805,4191.7652
2022,MS,209796,69,0.4111,427.2817,4792.1219
2022,WV,207450,72,0.2259,384.0685,6237.7874
2022,IA,205367,72,0.2179,290.6699,5610.3902
2022,NM,203423,72,0.3169,324.5896,4721.3491
2022,UT,202927,72,0.1235,256.8017,3906.799
2022,MD,200619,73,0.2021,340.9448,1901.8388
2022,ME,186711,72,0.2661,296.667,8777.8385
2022,ID,161917,72,0.1766,250.0479,6734.9012
2022,KS,161066,72,0.2173,366.5268,4239.138
2022,HI,151441,74,0.2613,301.1536,3592.6532
2022,RI,125363,72,0.2735,335.6333,4753.3243
2022,NE,103111,72,0.1965,270.1167,4802.8532
2022,NH,94849,72,0.1302,318.3692,7520.7962
2022,MT,62932,73,0.1464,247.9502,6780.9382
2022,DE,60842,72,0.2349,385.9834,4002.827
2022,SD,55585,74,0.1149,104.1288,3357.3806
2022,VT,42367,73,0.1534,302.0511,7629.8534
2022,ND,37446,74,0.1016,98.0879,3250.8946
2022,DC,25206,72,0.6116,556.8912,3593.8269
2022,WY,9633,73,0.1269,279.8713,4303.7475
2022,VI,5692,76,,294.097,2239.2832
2022,AK,2388,74,0.0858,314.0704,3186.7672
